,fav_recovery,fav_recovery,fav_recovery,fav_stress,fav_stress,fav_stress,pval.stress,padj.sterss
isogroupisogroup0,3.86719165909135,3.74914226905349,5.00744637034696,4.29356488256679,3.94906235354741,3.90866222291794,0.845722682419963,0.995310922565357
isogroupisogroup100027,-1.85901634904982,-1.73772917038182,-1.82976267050218,-1.82077681093889,-1.60151197235838,-1.73629451744491,0.639294959599623,NA
isogroupisogroup100029,-1.79322272649007,-1.72934719906298,-1.78079914759763,-1.68442575536116,-1.74454384330817,-1.72854514666924,0.617943351983417,NA
isogroupisogroup100033,0,0,0,0,0,0,NA,NA
isogroupisogroup10004,0.0438017605503051,-0.138196320448613,-0.272389611067899,0.392152163239024,-0.201491793568261,0.650608240043969,0.545617816926422,NA
isogroupisogroup100049,0.877214629263849,1.66455070369964,1.6893610596882,2.12519420430742,1.20668034798981,0.89323941109761,0.760106045241227,NA
isogroupisogroup10007,3.17966487554269,1.7355523022765,2.9834906746931,2.58745369725403,3.50965823211209,2.1569156314748,0.979508338002732,NA
isogroupisogroup100071,0,0,0,0,0,0,NA,NA
isogroupisogroup100084,1.44941225064279,2.61441480802374,0.876989957293743,1.60740030709882,2.20248878355883,2.22638219138352,0.503224406492009,NA
isogroupisogroup100094,-1.50303878901951,-0.591027347927681,-1.45337314783898,-1.43710182499109,-1.32177609909197,-1.26269954014358,0.953130583711587,NA
isogroupisogroup100107,2.02212203364257,2.04964294476486,1.49899498755351,1.99615294063946,1.873686462315,2.51494007107478,0.68333735659904,NA
isogroupisogroup100112,3.08623919465311,2.83092414980524,2.95170182953477,3.54883516411912,2.79588965692065,2.29946169723485,0.868345169383692,NA
isogroupisogroup100161,0,0,0,0,0,0,NA,NA
isogroupisogroup100176,0,0,0,0,0,0,NA,NA
isogroupisogroup100181,0,0,0,0,0,0,NA,NA
isogroupisogroup100196,-1.19609352680641,-0.389401836645062,-1.25645703291612,-1.25059034822888,-1.13841900694262,-1.07786555824505,0.82470959122045,NA
isogroupisogroup100233,0,0,0,0,0,0,NA,NA
isogroupisogroup100240,1.17734932041614,0.612541738366527,1.48974696053412,1.22544559653179,0.927683589836261,0.615213491771555,0.890447846207064,NA
isogroupisogroup100253,0,0,0,0,0,0,NA,NA
isogroupisogroup100286,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup100287,0,0,0,0,0,0,NA,NA
isogroupisogroup10029,0,0,0,0,0,0,NA,NA
